ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
NULL,Amazing String,70.00%,Easy,5.0773138929134518,https://www.codingninjas.com/studio/problems/amazing-strings_893182
790,Domino and tromino Tiling,51.20%,Medium,5.1545776958132432,https://leetcode.com/problems/domino-and-tromino-tiling/description/
1884,2 Egg Drop,72.30%,Medium,3.8842411753741608,https://leetcode.com/problems/egg-drop-with-2-eggs-and-n-floors/description/
110,Balanced Binary Tree,51.20%,Easy,1.1227940238603407,https://leetcode.com/problems/balanced-binary-tree/description/
132,Palindrome Partitioning 2,33.70%,Hard,2.6889337195723173,https://leetcode.com/problems/palindrome-partitioning-ii/solutions/
131,Palindrome Partitioning 1,66.70%,Medium,4.7808277714207401,https://leetcode.com/problems/palindrome-partitioning/description/
2643,Row with maximum ones,75.50%,Easy,2.1563673794789735,https://leetcode.com/problems/row-with-maximum-ones/description/
NULL,01 Knapsack,70.80%,Easy,1.3476832175891795,https://www.codingninjas.com/studio/problems/0-1-knapsack_920542
39,Combination sum -1,70.50%,Medium,3.1209652925109932,https://leetcode.com/problems/combination-sum/description/
40,Combination sum -2,54%,Medium,4.2277698184726278,https://leetcode.com/problems/combination-sum-ii/description/
216,Combination sum -3,69.00%,Medium,2.8745484372558781,https://leetcode.com/problems/combination-sum-iii/description/
377,Combination sum -4,54.00%,Medium,3.9585433779097472,https://leetcode.com/problems/combination-sum-iv/description/
987,Vertical Order Traversal,46.70%,Hard,2.0752761845983239,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/description/
51,N queens,67.05%,Hard,1.0532639223397311,https://leetcode.com/problems/n-queens/description/
129,Sum roots to a leaf,66.60%,Medium,1.8889280376948729,https://leetcode.com/problems/sum-root-to-leaf-numbers/description/
977,Squares of sorted array,77.80%,Easy,5.7772534742115642,https://leetcode.com/problems/squares-of-a-sorted-array/description/
2366,Minimum replacements to sort the array,69.30%,Hard,3.4347180514049671,https://leetcode.com/problems/minimum-replacements-to-sort-the-array/description/
239,Sliding Window Maximum,46.50%,Hard,2.8077574943997607,https://leetcode.com/problems/sliding-window-maximum/description/
3,Longest substring without repeating characters,34.30%,Medium,4.7308726716586937,https://leetcode.com/problems/longest-substring-without-repeating-characters/description/
662,Maximum width of Binary tree,42.80%,Medium,5.5234828008587726,https://leetcode.com/problems/maximum-width-of-binary-tree/description/
NULL,Wave array,63.69%,Easy,2.5426589790873475,https://www.geeksforgeeks.org/problems/wave-array-1587115621/1
2095,Delete the middle node of linked list,58.70%,Medium,3.1933909505242180,https://leetcode.com/problems/delete-the-middle-node-of-a-linked-list/description/
297,Serailize and deserialize binary tree,52.60%,Hard,0.9019083442967916,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/description/
1483,Kth ancestor of Treenode,34.40%,Hard,0.7667853400677282,https://leetcode.com/problems/kth-ancestor-of-a-tree-node/description/
2735,Collecting chocolates,32.30%,Medium,3.2261594614625344,https://leetcode.com/problems/collecting-chocolates/description/
